X,X.1,CHARACTER_ID,SCRIPT_ID,CHARACTER_NAME,ACTOR_NAME,PARTIAL_MATCH,GENDER,MISGENDER,CHARACTER_RACE,ACTOR_RACE,PART_WHITE,AGE,EXTRACTED_WORDS,POLYGRAPH_.WORDS,IMDB_ACTOR_HOMEPAGE,GOOGLE_IMAGE_SEARCH
405,7620,8966,2935,nyah nordoff-ha,Thandie Newton,y,f,,b,b,y,28,949,3346,http://www.imdb.com/name/nm0628601/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Thandie+Newton+actress&source=lnms&tbm=isch
406,7619,4650,1807,beloved,Thandie Newton,n,f,,b,b,y,26,491,1636,http://www.imdb.com/name/nm0628601/?ref_=ttfc_fc_cl_t15,https://www.google.com/search?q=Thandie+Newton+actress&source=lnms&tbm=isch
407,7618,2688,1285,stella,Thandie Newton,n,f,,b,b,y,36,405,585,http://www.imdb.com/name/nm0628601/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Thandie+Newton+actress&source=lnms&tbm=isch
408,7617,12441,4047,christine thaye,Thandie Newton,y,f,,b,b,y,32,361,609,http://www.imdb.com/name/nm0628601/?ref_=ttfc_fc_cl_t30,https://www.google.com/search?q=Thandie+Newton+actress&source=lnms&tbm=isch
409,7616,3586,1509,laura wilson,Thandie Newton,n,f,,b,b,y,37,200,670,http://www.imdb.com/name/nm0628601/?ref_=ttfc_fc_cl_t4,https://www.google.com/search?q=Thandie+Newton+actress&source=lnms&tbm=isch
410,7627,6172,2190,emily ngubene,Thoko Ntshinga,n,f,,b,b,n,NA,234,196,http://www.imdb.com/name/nm0637680/?ref_=ttfc_fc_cl_t8,https://www.google.com/search?q=Thoko+Ntshinga+actress&source=lnms&tbm=isch
411,7636,349,714,honeycutt,Thomas Jefferson Byrd,n,m,,b,b,n,NA,346,455,http://www.imdb.com/name/nm0126070/?ref_=ttfc_fc_cl_t6,https://www.google.com/search?q=Thomas+Jefferson+Byrd+actor&source=lnms&tbm=isch
412,7708,1799,1073,kevin fleury,Tj Burnett,y,m,,b,b,n,8,184,252,http://www.imdb.com/name/nm2421039/?ref_=ttfc_fc_cl_t17,https://www.google.com/search?q=Tj+Burnett+actor&source=lnms&tbm=isch
413,7814,1174,911,president lindb,Tommy 'Tiny' Lister,y,m,,b,b,n,39,337,468,http://www.imdb.com/name/nm0001474/?ref_=ttfc_fc_cl_t8,https://www.google.com/search?q=Tommy+'Tiny'+Lister+actor&source=lnms&tbm=isch
414,7824,4481,1744,marcus,Tony Cox,n,m,,b,b,n,45,852,2730,http://www.imdb.com/name/nm0185272/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Tony+Cox+actor&source=lnms&tbm=isch
415,7823,7315,2510,jamal,Tony Cox,n,m,,b,b,n,45,184,612,http://www.imdb.com/name/nm0185272/?ref_=ttfc_fc_cl_t8,https://www.google.com/search?q=Tony+Cox+actor&source=lnms&tbm=isch
416,7841,7815,2632,jason tshabalal,Tony Kgoroge,y,m,,b,b,n,NA,250,653,http://www.imdb.com/name/nm0450961/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Tony+Kgoroge+actor&source=lnms&tbm=isch
417,7869,14588,4863,joanne jefferso,Tracie Thoms,y,f,,b,b,n,30,404,580,http://www.imdb.com/name/nm1139632/?ref_=ttfc_fc_cl_t7,https://www.google.com/search?q=Tracie+Thoms+actress&source=lnms&tbm=isch
418,7890,9808,3167,sidney,Tunde Adebimpe,n,m,,b,b,n,NA,264,938,http://www.imdb.com/name/nm0011758/?ref_=ttfc_fc_cl_t34,https://www.google.com/search?q=Tunde+Adebimpe+actor&source=lnms&tbm=isch
419,7892,6862,2370,det. rodriguez,Tupac Shakur,n,m,,b,b,n,26,1112,3530,http://www.imdb.com/name/nm0000637/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Tupac+Shakur+actor&source=lnms&tbm=isch
420,7903,1886,1094,kyle williams,Tyrese Gibson,n,m,,b,b,n,32,432,1332,http://www.imdb.com/name/nm0879085/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Tyrese+Gibson+actor&source=lnms&tbm=isch
421,7904,14394,4765,cy,Tyrin Turner,n,m,,b,b,n,24,254,420,http://www.imdb.com/name/nm0877928/?ref_=ttfc_fc_cl_t5,https://www.google.com/search?q=Tyrin+Turner+actor&source=lnms&tbm=isch
422,7943,8500,2789,rory breaker,Vas Blackwood,n,m,,b,b,n,37,309,196,http://www.imdb.com/name/nm0085997/?ref_=ttfc_fc_cl_t19,https://www.google.com/search?q=Vas+Blackwood+actor&source=lnms&tbm=isch
423,7989,2745,1295,snookie,Vince Green,n,m,,b,b,n,NA,292,400,http://www.imdb.com/name/nm0338393/?ref_=ttfc_fc_cl_t7,https://www.google.com/search?q=Vince+Green+actor&source=lnms&tbm=isch
424,8019,9459,3047,buddy bragg,Ving Rhames,n,m,,b,b,n,39,926,2798,http://www.imdb.com/name/nm0000609/?ref_=ttfc_fc_cl_t5,https://www.google.com/search?q=Ving+Rhames+actor&source=lnms&tbm=isch
425,8018,588,776,marcus,Ving Rhames,n,m,,b,b,n,40,566,750,http://www.imdb.com/name/nm0000609/?ref_=ttfc_fc_cl_t4,https://www.google.com/search?q=Ving+Rhames+actor&source=lnms&tbm=isch
426,8017,8964,2935,luther stickell,Ving Rhames,n,m,,b,b,n,41,324,1928,http://www.imdb.com/name/nm0000609/?ref_=ttfc_fc_cl_t4,https://www.google.com/search?q=Ving+Rhames+actor&source=lnms&tbm=isch
